id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens
636386,815251,4200,4200,4200, 60 months,16.69%,103.69,E,E3,CITY OF BELLEVUE,2 years,MORTGAGE,73200,Source Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=636386,,major_purchase,christmas,980xx,WA,9.41,0,1-Jul,665,669,5,,,7,0,38582,86.70%,18,f,0,0,415.24,415.24,184.22,228.98,0,2.04,0,11-May,103.69,11-Oct,16-Nov,539,535,0,1,INDIVIDUAL,0,0,0,0,0
636209,815020,3000,3000,3000, 60 months,16.69%,74.06,E,E3,Tri-County Tile,3 years,MORTGAGE,80000,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=636209,  Borrower added on 12/20/10 > This is an auto loan in order to purchase an antique car...<br/>,car,VW Beetle,180xx,PA,8.12,0,Jan-97,705,709,8,,,8,0,6957,56.10%,15,f,0,0,4443.468679,4443.47,3000,1443.47,0,0,0,16-Jan,73.92,16-Feb,15-Dec,744,740,0,1,INDIVIDUAL,0,0,0,0,0
635527,814126,6400,6400,5900, 36 months,12.61%,214.45,C,C2,TABC Toyota,5 years,RENT,55800,Source Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=635527,"  Borrower added on 12/18/10 > I plan to use the funds on my new business, <br/>What makes me a good borrower is that I always pay everything on time, and i want to built a strong relationship for future use.<br/>I can afford to make my monthly loan payments, I have a stable job I've been with the company for 5 years now.<br/>",small_business,business loan,907xx,CA,13.42,0,Mar-95,695,699,6,,,7,0,7230,38.90%,7,f,0,0,4298.33,3961.85,3023.19,1042.4,29.97853206,202.76,2.15,12-Aug,658.35,13-Jan,16-Oct,584,580,0,1,INDIVIDUAL,0,0,0,0,0
635062,813525,3000,3000,3000, 36 months,16.32%,105.95,E,E2,Montefiore Medical Center,3 years,RENT,42000,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=635062,  Borrower added on 12/16/10 > The job i currently work in is very stable.  I was also given an increase in pay.  I plan to use this fund to pay off my debt and have one monthly bill towards this loan alone.  I have learned to be very responsible.  I would gladly appreciate all the help i can get.<br/>,debt_consolidation,Debt Consolidation,104xx,NY,19.74,0,5-Jan,670,674,7,45,,7,0,3392,96.90%,13,f,0,0,3814.435153,3814.44,3000,814.44,0,0,0,14-Jan,110.93,14-Jan,16-Nov,689,685,0,1,INDIVIDUAL,0,0,0,0,0
634280,812567,10000,10000,10000, 36 months,13.35%,338.63,C,C4,Kendall Hunt,5 years,MORTGAGE,120000,Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=634280,,debt_consolidation,Loan consolidation,787xx,TX,15.02,0,Jan-95,675,679,4,46,,16,0,36028,80.60%,40,f,0,0,8731.57,8731.57,6349.24,2113.87,0,268.46,45.5088,13-Jun,338.12,13-Jul,16-Oct,529,525,0,1,INDIVIDUAL,0,0,0,0,0
634158,812421,6500,6500,6500, 60 months,16.32%,159.18,E,E2,NTS,3 years,MORTGAGE,30000,Source Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=634158,,other,Melissa,328xx,FL,5.6,0,Feb-94,700,704,4,56,,25,0,6217,26.90%,45,f,0,0,9518.049987,9518.05,6500,3018.05,0,0,0,15-Jul,1090.84,15-Jul,16-Nov,649,645,0,1,INDIVIDUAL,0,0,0,0,0
634109,800479,16400,16400,16300, 60 months,21.14%,444.97,G,G5,Ross County License Bureau,2 years,MORTGAGE,69312,Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=634109,Borrower added on 12/01/10 > seeking a loan for a wedding and a honeymoon<br/>,wedding,Future,456xx,OH,23.56,0,Mar-98,665,669,7,,113,10,1,7194,88.80%,20,f,0,0,3559.76,3538.12,1320.68,2218.92,0,20.16,6.63,11-Sep,444.97,12-Jan,16-Nov,514,510,0,1,INDIVIDUAL,0,0,0,1,0
633355,811417,3200,3200,2700, 36 months,16.69%,113.6,E,E3,Gaston College,2 years,OWN,33096,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=633355,,credit_card,Credit Card Payoff,280xx,NC,24.47,0,May-95,680,684,4,,,38,0,15310,23.80%,61,f,0,0,3955.134962,3337.14,3200,755.13,0,0,0,12-Dec,1463.32,12-Dec,16-Mar,759,755,0,1,INDIVIDUAL,0,0,0,0,0
632614,810414,7000,7000,7000, 36 months,12.61%,234.55,C,C2,wkp laboratories,3 years,MORTGAGE,55004,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=632614,,debt_consolidation,ms,103xx,NY,4.97,0,May-99,695,699,5,46,,13,0,6021,21.40%,19,f,0,0,8491.58678,8491.59,7000,1446.59,45.00000001,0,0,14-Jan,36.62,14-Feb,16-Nov,644,640,0,1,INDIVIDUAL,0,0,0,0,0
632307,810027,4800,4800,4800, 36 months,12.61%,160.84,C,C2,dept of corrections,5 years,RENT,40800,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=632307,  Borrower added on 12/12/10 > thank u<br/> Borrower added on 12/12/10 > thank u<br/> Borrower added on 12/13/10 > Looking good. I love it<br/>,vacation,vacation to fiji,958xx,CA,24.18,0,Jun-95,675,679,5,43,,14,0,11483,60.70%,22,f,0,0,5785.325259,5785.33,4800,985.33,0,0,0,13-Nov,253.72,13-Nov,13-Oct,584,580,0,1,INDIVIDUAL,0,0,0,0,0
608740,780876,1600,1600,1600, 60 months,14.46%,37.62,D,D2,Lee Roy Selmons,5 years,MORTGAGE,31000,Source Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=608740,,small_business,Small Business Loan,337xx,FL,6.23,1,Nov-93,705,709,6,23,,8,0,270,1.90%,14,f,0,0,2256.490451,2256.49,1600,656.49,0,0,0,15-Dec,36.91,16-Jan,15-Dec,724,720,0,1,INDIVIDUAL,0,0,0,0,0
632167,809837,8000,8000,8000, 60 months,14.83%,189.61,D,D3,us army,5 years,MORTGAGE,66000,Source Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=632167,,wedding,wedding and vacation,856xx,AZ,9.49,0,4-Oct,680,684,4,68,,7,0,5290,29.90%,9,f,0,0,8483.113875,8483.11,8000,483.11,0,0,0,11-Jun,7727.62,11-Jun,15-May,669,665,0,1,INDIVIDUAL,0,0,0,0,0
632031,809668,2000,2000,2000, 36 months,10.36%,64.88,B,B5,,n/a,MORTGAGE,70000,Not Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=632031,  Borrower added on 12/11/10 > vacation to europe<br/> Borrower added on 12/11/10 > money need for trip to europe to visit elder relatives in scotland<br/>,vacation,vacation,980xx,WA,18.24,1,Oct-93,710,714,6,10,,16,0,4976,17%,63,f,0,0,582.44,582.44,47.57,17.25,0,517.62,93.1716,11-Feb,64.88,11-Jun,16-Oct,579,575,0,1,INDIVIDUAL,0,0,0,0,0
631664,809183,4800,4800,4800, 60 months,17.06%,119.45,E,E4,U.S Army,5 years,RENT,57996,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=631664,,major_purchase,matts loan,283xx,NC,24.97,0,5-Jan,665,669,6,,,8,0,17860,77.70%,10,f,0,0,5687.752807,5687.75,4800,887.75,0,0,0,12-Mar,4375.7,12-Mar,12-Feb,529,525,0,1,INDIVIDUAL,0,0,0,0,0
631603,809104,2350,2350,2350, 60 months,16.32%,57.55,E,E2,Santa Barbara City College,10+ years,MORTGAGE,110000,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=631603,"  Borrower added on 12/10/10 > My husband and I just closed on the purchase of our first home after 28 years of marriage. We are so excited to start this new chapter with our family. We need some additional money to purchase some appliances, furniture, new carpet, etc.<br/> Borrower added on 12/10/10 > My husband and I just purchased our first home after 28 years of marriage. We will be using the money to purchase some appliances, furniture, carpet, etc. We are so excited to FINALLY be homeowners!<br/> Borrower added on 12/12/10 > Thank you to the 19 investors that have funded thus far! I LOVE Lending Club and I hope to do the same for others one day.<br/>",moving,Home Improvements,934xx,CA,4.99,0,Sep-95,675,679,6,,,10,0,3006,69.90%,18,f,0,0,3248.88404,3248.88,2350,898.88,0,0,0,14-May,284.05,14-May,16-Nov,659,655,0,1,INDIVIDUAL,0,0,0,0,0
631406,808873,6000,6000,6000, 36 months,14.09%,205.33,D,D1,Country Meadows of South Hills,2 years,RENT,30000,Not Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=631406,  Borrower added on 12/10/10 > This loan will be used to pay off high credit card balances.<br/>,debt_consolidation,Credit Card Payoff,153xx,PA,13.48,0,7-Jan,670,674,4,,,17,0,7578,62.10%,20,f,0,0,4488.55,4488.55,3182.25,1120.33,14.98484706,170.98,1.76,12-Sep,205.33,13-Feb,16-Oct,694,690,0,1,INDIVIDUAL,0,0,0,0,0
631039,808418,25000,25000,9999.99296, 60 months,17.80%,632.12,F,F1,consolidated edison,5 years,MORTGAGE,78500,Source Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=631039,,house,dasichai,069xx,CT,11.74,0,3-May,685,689,4,,,15,0,39428,68.70%,22,f,0,0,4140,1655.75,261.1,370.58,0,3508.32,631.4184,11-Jan,632.12,11-Jun,16-Oct,614,610,0,1,INDIVIDUAL,0,0,0,0,0
630748,808071,5600,5600,5600, 60 months,18.91%,144.99,F,F4,Portillos,2 years,RENT,45500,Not Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=630748,  Borrower added on 12/09/10 > Medical Loans for my daughter who has been sick in the hospital over the past couple months.<br/>,medical,Medical ,601xx,IL,19.91,0,Nov-95,670,674,5,24,,5,0,8928,99.20%,16,f,0,0,2494.11,2494.11,113.67,273.64,0,2106.8,696.8934,11-Jul,36.78,11-Nov,11-Nov,499,0,0,1,INDIVIDUAL,0,0,0,0,0
630624,796621,10000,10000,9975, 36 months,12.23%,333.25,C,C1,General Dynamics C4 Systems,9 years,OWN,57000,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=630624,Inpatient Rehabilitation for my Son.,medical,Medical,852xx,AZ,16.19,0,Jan-78,690,694,5,26,,7,0,10032,29.20%,17,f,0,0,11702.76499,11673.51,10000,1686.1,16.66,0,0,12-Nov,4798.17,12-Nov,12-Nov,609,605,0,1,INDIVIDUAL,0,0,0,0,0
630137,807330,12000,12000,12000, 36 months,12.98%,404.22,C,C3,,n/a,RENT,53000,Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=630137,,debt_consolidation,debtconsolidation,112xx,NY,15.42,0,May-98,690,694,5,,,19,0,13968,36.80%,40,f,0,0,3637.98,3637.98,2574.53,1056.61,0,6.84,0,11-Sep,404.22,12-Jan,16-Nov,549,545,0,1,INDIVIDUAL,0,0,0,0,0
630052,807235,4000,4000,3975, 60 months,16.69%,98.75,E,E3,AANEM,7 years,MORTGAGE,23000,Not Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=630052,"  Borrower added on 12/10/10 > I work at a non profit organization for physicians and have been at my job, going on 8 years. <br/><br/>With this loan, I plan to pay of some smaller credit cards that I have so that I am able to make 1 payment per month rather than multiple smaller payments.<br/><br/>In my opinion, I belive I am a good borrower because I make my monthly payments on time and I am always thinking of ways to budget my money better.<br/>",debt_consolidation,Personal,559xx,MN,20.77,1,Oct-00,665,669,6,9,,10,0,5222,44.60%,35,f,0,0,857.12,851.79,312.53,375.32,0,169.27,1.6,11-Jul,197.5,11-Dec,16-Oct,644,640,0,1,INDIVIDUAL,0,0,0,0,0
629752,806850,3000,3000,3000, 36 months,12.61%,100.52,C,C2,Emerald Medical Care,6 years,MORTGAGE,230000,Source Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=629752,  Borrower added on 12/08/10 > Financing purchase of 1976 Airstream travel trailer<br/>,car,1976 Airstream,324xx,FL,12.46,0,Jan-99,690,694,6,,,11,0,8509,59.90%,30,f,0,0,3618.783598,3618.78,3000,618.78,0,0,0,13-Dec,112.83,14-Jan,16-Nov,674,670,0,1,INDIVIDUAL,0,0,0,0,0
629476,806514,9700,9700,9700, 60 months,13.35%,222.45,C,C4,Supervalu,9 years,OWN,45600,Source Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=629476,"  Borrower added on 12/07/10 > With this loan I would like to pay off a high interest credit card and also start up a small online ebay business making and selling golf equipment.  Thank you for your interest and hopefully your funding.<br/> Borrower added on 12/09/10 > Ive had the same job for almost 10 yrs now and my company is doing very well.  I never pay a bill late and this loan will be paid in full. thanks everybody.<br/> Borrower added on 12/18/10 > Only 3 days left to fund my loan, please help everybody.  thank you to those that have funded so far.<br/>",small_business,my own business,175xx,PA,12.89,0,2-Mar,705,709,4,,,13,0,22261,62.40%,35,f,0,0,1739.4,1739.4,703.61,625.39,0,410.4,3.93,11-Jun,222.45,11-Nov,16-Oct,664,660,0,1,INDIVIDUAL,0,0,0,0,0
629018,805946,3000,3000,2500, 36 months,9.62%,96.27,B,B3,Enloe Medical Center,< 1 year,RENT,16800,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=629018,"  Borrower added on 12/08/10 > I am a nursing student and I work at Enloe hospital. I love my job. My best friend is pregnant &amp; lives in virginia. I would really like to see her and share in her joy of a new life. I am a very hard worker and I pay for all of my school, however I have not taken a vacation in 8 years and this would be a way for me to enjoy myself and suprise my friend.<br/> Borrower added on 12/09/10 > I am a very responsible person. I work full time at a very stable job. I enjoy taking care of people &amp; making them feel better. I always pay my bills on time. I have taken care of myself since I was 16, I am 27 now. I have been financially responsible for myself for 11 years now and through good choices I have been able to maintain good credit. My credit is very important to me, I would like to buy a house someday so I can take care of my family.<br/>",vacation,Shastina's Loan,959xx,CA,5.07,0,1-Sep,700,704,4,,,6,0,2521,66.30%,10,f,0,0,3465.676785,2888.06,3000,465.68,0,0,0,13-Dec,100.55,14-Jan,15-Sep,689,685,0,1,INDIVIDUAL,0,0,0,0,0
629254,806211,7400,7400,7400, 36 months,16.69%,262.69,E,E3,"Latigo Oil & Gas, Inc.",7 years,MORTGAGE,45000,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=629254,,debt_consolidation,Get outta debt!!!,738xx,OK,24.51,0,2-Oct,670,674,8,,,20,0,26368,54.80%,34,f,0,0,8626.998976,8627,7400,1227,0,0,0,12-Feb,5216.97,12-Mar,13-May,659,655,0,1,INDIVIDUAL,0,0,0,0,0
